Name,Assign,Status
User Selection Flow,Pradyot Prakash,Completed
Project Structure,Pradyot Prakash,Completed
Firebase Implementation,Pradyot Prakash,Completed
Create User,Pradyot Prakash,Completed
Login User,Pradyot Prakash,Completed
Search,Pradyot Prakash,
User Profile Details,Pradyot Prakash,In progress
User Profile Actions,Pradyot Prakash,Not started
User Edit Profile,Pradyot Prakash,Not started
Write A Blog,Pradyot Prakash,
Get Blogs,Pradyot Prakash,
Mobile Application,Pradyot Prakash,Future Work
UI,Pradyot Prakash,Future Work
